0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:20:46 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:21:54 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:25:26 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:26:05 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6132
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:04:22 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 5552
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:04:24 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 5552
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:04:31 +0900] "GET /jeju/login/elogin.bit HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:04:35 +0900] "POST /jeju/login/elogin.bit HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:08:13 +0900] "GET /jeju/lms/mytask.bit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:08:13 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6132
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:09:19 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6148
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:09:49 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:10:37 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6174
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:11:20 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:11:59 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6228
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:12:00 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6228
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:13:11 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6099
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:47 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:48 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:50 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:50 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:50 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:50 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:51 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:51 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:52 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:14:55 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:00 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:01 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:01 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:01 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:02 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:03 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:04 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
0:0:0:0:0:0:0:1 - - [23/Aug/2020:12:15:04 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6102
