127.0.0.1 - - [27/Aug/2020:12:14:57 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/index.jsp HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/css/jquery.bxslider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/js/jquery.bxslider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/img/ad01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/img/ad02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/img/ad03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/css/images/bx_loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:14:58 +0900] "GET /jeju/css/images/controls.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:15:05 +0900] "GET /jeju/opencourse.bit HTTP/1.1" 200 6387
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:16:51 +0900] "GET /jeju/login/elogin.bit HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:16:56 +0900] "POST /jeju/login/elogin.bit HTTP/1.1" 200 5860
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:16:56 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:16:59 +0900] "GET /jeju/opencourse.bit HTTP/1.1" 200 6863
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:17:02 +0900] "GET /jeju/lms/mytask.bit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:17:02 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:19:10 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7019
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:19:40 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7018
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:20:17 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:20:28 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:20:45 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:03 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:40 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:43 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:54 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7055
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:55 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7055
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:56 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7055
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:56 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:56 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:21:56 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:22:00 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7055
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:22:14 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7055
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:23:51 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:23:53 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:32:13 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6902
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:32:13 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:32:13 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:32:13 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:32:34 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6908
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:34:07 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6953
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:35:14 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6982
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:38:07 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:38:44 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:38:57 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:39:30 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:39:33 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:39:33 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:39:33 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:39:33 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:14 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:16 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:17 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:17 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:17 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:17 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:19 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:20 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:20 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:20 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:20 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:44:40 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:46:42 +0900] "GET /jeju/lms/mytask/mycourses.bit?eno=1008 HTTP/1.1" 200 6998
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:50:14 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:50:50 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:51:10 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:51:22 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:51:22 +0900] "GET /jeju/img/lmslogo.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:51:22 +0900] "GET /jeju/js/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:51:22 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:51:34 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11387
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:52:59 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11670
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:54:06 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11670
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:54:56 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11676
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:55:32 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11698
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:55:50 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:56:41 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:56:53 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:57:14 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:57:23 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:57:35 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:57:48 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:03 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:52 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11698
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:59:00 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11697
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:01:18 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11697
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:14 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11797
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:12 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11797
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:33 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11797
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:47 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11797
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:05 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11805
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:19 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11805
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:46 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11800
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:55 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11800
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:03 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:27 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:38 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:51 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:09:57 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11888
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:39 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11888
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:13 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11886
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:44 +0900] "GET /jeju/lms/mytask/mystus.bit?cno=1 HTTP/1.1" 200 11886
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:50 +0900] "GET /jeju/lms/mytask/mystusall.bit?cno=1 HTTP/1.1" 200 12983
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:16:57 +0900] "GET /jeju/lms/mytask/mystusall.bit?cno=1 HTTP/1.1" 200 13036
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:17:37 +0900] "GET /jeju/lms/mytask/mystusall.bit?cno=1 HTTP/1.1" 200 13075
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:17:51 +0900] "GET /jeju/lms/mytask/mystusall.bit?cno=1 HTTP/1.1" 200 13075
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:17:57 +0900] "GET /jeju/lms/mytask/mystusall.bit?cno=1 HTTP/1.1" 200 13077
